E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,B5,B6,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5759866476320671,0.2516574918343953,0.6898605974857178,1.7157338822066084,0.07988448739291489,0.6923707736221013,1.3731094163607842,0.6831496537095224,1.3770032842148838,0.6922407736790744,0.04846643260463063,-0.03070953930270657,-0.2504217274906277,0.018797230003196316,0.043799321164661495,-0.06960945312978756,-0.06921220595235783,0.25084330371634905,-0.14068963402248572,-0.0009958228718253337,0.21594631611004195,-0.03447541138058574,0.029906574789374096,0.030090778827155773,0.006182335910555719,0.1405054299847041,-0.114722506285075,0.04324507821494715,0.04324507821494715,0.049556502819112946,0.1864541129772819
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.564550344433196,0.21350333087015835,0.7004240045424239,1.5256297190646482,0.06740713010860706,0.6260679316014616,1.2212361318303946,0.6281624618619133,1.3216785693258577,0.6254774115715951,0.04324113755083049,-0.034291771326839714,-0.2240344794197061,0.014321879229377998,0.02461676164220651,-0.04163851446789672,-0.059409884574242094,0.22206319020554094,-0.1201630923273382,-0.000707038334674834,0.19777872972292868,-0.026255749696777436,0.024157561606936922,0.026947969107287306,0.006417858635752477,0.11737268482698782,-0.10399828596804325,0.04324507821494715,0.04324507821494715,0.041816149070661404,0.18930916905666156
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5562411904404693,0.2375212112033513,0.650507317994732,1.6779842855107572,0.08984785841567855,0.660757014781973,1.4040129754101416,0.6688206437304123,1.3506239897367367,0.6712246302852778,0.04499883662306671,-0.030862766821185522,-0.24558032119194514,0.016133113884219542,0.033711521121927185,-0.07842420945821649,-0.06637734297944006,0.24346268875911364,-0.13220459998228312,-0.002899984900908114,0.21171276087486837,-0.03386756031707676,0.03605331387611713,0.026748090306015715,0.004979073939128628,0.14150982355238462,-0.1090723352177902,0.04324507821494715,0.04324507821494715,0.05573730012145938,0.17581778899098444
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5869611948649194,0.2581263674926375,0.6818581682104954,1.8553177075832024,0.08642152070347016,0.8271984203773745,1.4454367281015998,0.7112737533554517,1.489506774088995,0.7309058191128406,0.05192753796765278,-0.030763103794807352,-0.2703763349595094,0.023681807815457895,0.0318589551136623,-0.06193692479351856,-0.04429348562135893,0.26705839977814816,-0.14008528703763443,-0.00159312812936008,0.22526933875451205,-0.04510699620499732,0.033043229314288436,0.024927794970833694,0.006242614409570479,0.14820072138108925,-0.1390368796312226,0.04324507821494715,0.04324507821494715,0.053611764613431,0.18429123274087883
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5406607033293559,0.21037636541835528,0.6584577597613719,1.476255194884049,0.07773146351080544,0.5433857009913764,1.2636484069719902,0.6157173995299035,1.252686491528232,0.6060165570779562,0.039790837799220984,-0.03268726581593766,-0.21713124302448233,0.01081744096829948,0.029071977253990116,-0.06507640658136002,-0.07420543226743581,0.21581167688046987,-0.11968038940391558,-0.0022970303220868687,0.19419439282851908,-0.022936850195963282,0.030348102321090645,0.027653830686909076,0.005070735629457304,0.12237466103809724,-0.08872003535142696,0.04324507821494715,0.04324507821494715,0.048220870112870705,0.1779666181497726
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.499593652384293,0.27978490877524126,0.801708669694839,2.1811132181375457,0.10521197097759619,0.7451601631271496,1.9478377137934335,0.7531382252387528,1.4210520434313199,1.1824191633766248,0.0713520681178024,-0.02070136671831566,-0.30409539205254343,-0.01825169498397204,0.03944475425911445,-0.06951225714437567,-0.07203466579506845,0.23941159046881166,-0.14886384251698123,-0.0015013485381990665,0.2375803857695071,-0.06651500628303646,0.03698849929800683,0.024919961518042544,0.0023387351598600755,0.1609323802969455,-0.12007425493685997,0.04324507821494714,0.04324507821494715,0.06526845832671778,0.2166841814403563
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.6009887228845581,0.21580977655968597,0.6193046148352085,1.440476657384543,0.0732252574625782,0.6217552911886709,1.1174096013836836,0.6167660777064249,1.318079996565096,0.4911489000336515,0.03581094405590331,-0.037001306975880874,-0.21488152345760753,0.02718582131917434,0.02704966577027325,-0.06110027867888429,-0.06216133550088121,0.23696305030778358,-0.12295565059917252,-0.0020259131546200458,0.19500406573509005,-0.019877457722517505,0.0298454641178901,0.03070664958690511,0.007435256413333735,0.1220944651301577,-0.10403939331323848,0.043245078214947164,0.04324507821494715,0.04542543610533794,0.167384386124802
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5503216543333799,0.276665172715154,0.6388073298527666,1.3902951752594013,0.07557284523142677,0.4991243765396482,1.1313884393139986,0.634115258214774,1.2157537586124953,0.5510572338292125,0.03684835504172785,-0.02526519310268485,-0.20458526078889713,0.013147471925135913,0.0268859247149847,-0.06298611721891974,-0.04403282544392266,0.1901363909186574,-0.08193315984484348,-0.0003962166273676366,0.20046462849177565,-0.004120632297121438,0.03117845075506737,0.009252013246352164,0.005507886747775053,0.10385959735355871,-0.08114541261586797,0.04324507821494715,0.04324507821494715,0.04688176691100294,0.17265554009779405
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5648744215818451,0.19581405206992372,0.6852941899729257,1.7513770669380266,0.08423019798719676,0.7356591042354957,1.4464851760233775,0.66140101103596,1.4131241272469584,0.7140682867043671,0.048877866565119076,-0.0361587051997625,-0.25613840298602775,0.016857221640631442,0.03211707159553606,-0.06466516527261995,-0.07551548493733068,0.2617969895877669,-0.15489246830674314,-0.003184204435287604,0.2088646211096333,-0.047273781876394444,0.031556241573058655,0.037679231526226764,0.00556685891433945,0.14876947835357496,-0.12262206158435959,0.04324507821494715,0.04324507821494715,0.052252373148196155,0.18521991368340485
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5573970765981315,0.22604291509036853,0.6655296990091871,1.609840121380801,0.08101498949733939,0.6429213623868102,1.3297464901047227,0.6504677957806805,1.3357414846502278,0.6495764072215917,0.04390915847732461,-0.03230932205174288,-0.23600947252959736,0.01511276322523232,0.030170442696788306,-0.06352306180932796,-0.06323587077085788,0.23362483281490948,-0.12635085709901522,-0.0010646258937388416,0.205512328124595,-0.030497144405002348,0.03141105557779211,0.026411755537404435,0.0054717159606034165,0.13135015713940296,-0.10636006454310452,0.04324507821494715,0.04324507821494715,0.05025781207893671,0.1798780074424593
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5623229391843009,0.23048479753494602,0.673831932979927,1.629413036453757,0.08145606419255697,0.6521314252409599,1.334077863049126,0.6564871324817161,1.3434265866154989,0.6585900747645533,0.04492344969773756,-0.03219414082110239,-0.23864794316834115,0.015868253924236318,0.0302733218266842,-0.06483936247130635,-0.06419277199930953,0.23715873721946146,-0.12886680426418998,-0.002945878101538093,0.20738862047457823,-0.03125932269376292,0.031632145169206816,0.027565989824621495,0.005619966583804976,0.13293295960877527,-0.10791911047982757,0.04324507821494715,0.04324507821494715,0.05053143365541978,0.18212191827949797
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4898095946863961,0.23840712404175118,0.5465686903321086,1.4738569269098096,0.06780626170155164,0.6438613676128148,1.4240322923092927,0.9470869950534783,1.3365258480279953,0.571191828283155,0.033943313482505844,-0.02535686845809007,-0.2084823854239386,0.007639072003682509,0.024310673404538845,-0.05099819614752238,-0.06829689670022314,0.2054671767522066,-0.13297125049067837,-0.0015901280211013,0.15212567327508053,-0.0563567121488581,0.020933206404983962,0.02328903280709138,0.003956249359678633,0.13061542408857096,-0.10791943200540238,0.04324507821494715,0.04324507821494715,0.042063751159082764,0.14772546904179118
