E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,B6,B8,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15
1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3121608356894838,0.08743814827363149,0.5794028401696534,1.6412625417927857,0.7568926595093964,4.5926151400340265,0.7636922155019091,0.21498442393547568,0.06483284079056756,0.6501653580744666,0.1768704260532891,0.014846640491753993,0.030112790577963233,-0.00024178709238965868,-0.011771629185736475,-0.001989047542626035,0.16460563020154345,0.011529842093346857,-0.016593900941990366,0.17662863896089942,-0.002240427116245447,-0.016835688034380028,0.01551752965982866,0.015517529659828666,0.01784799472621763,0.004471261751261163
1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31167268777062523,0.08749448225693529,0.5793711522299313,1.6423026171722195,0.7570059129158201,4.572280934029794,0.7624446537953612,0.2144991052858965,0.06483520543199153,0.6512700983420495,0.17658248107734265,0.014847791605094918,0.029988540790361007,-0.00017479882518312007,-0.01157765641196351,-0.00195634521183448,0.16445324536563355,0.011402857586780349,-0.016629337991746262,0.1764076822521595,-0.0023331256863969863,-0.016804136816929403,0.015517529659828668,0.015517529659828666,0.01785930507865197,0.004464269723414603
1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31208637665333566,0.08749403524642535,0.5798978386144893,1.6432660505941754,0.7574519317482715,4.576108106231385,0.7624953559348931,0.21464649876711098,0.06483518666854704,0.6500522819525716,0.1768070510424446,0.0148388327207014,0.030006888978504676,-0.00018507479024942874,-0.011602558799526319,-0.0019678235193879377,0.16466994405064353,0.011417484009276863,-0.016621581449839898,0.1766219762521952,-0.00231729692141331,-0.016806656240089334,0.015517529659828671,0.015517529659828666,0.017869781986703585,0.00447019523105068
1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31275793708089483,0.0854377547624658,0.5923218945253956,1.5893374002149678,0.735500622228303,4.663961930433859,0.7599094563743215,0.21910320756419793,0.06474887347486721,0.6457297266712222,0.17443455999408355,0.014802326921623449,0.030159229969925205,-0.00041938900081069097,-0.012295882279445614,-0.0019498993852387903,0.1615586621023004,0.011876493278634916,-0.016332837306051538,0.17401517099327285,-0.002110525996765686,-0.016752226306862242,0.015517529659828666,0.015517529659828666,0.017283332078142016,0.004479814382815183
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31124809069055276,0.08929496323542759,0.5691412921747097,1.6892897991865419,0.7761636364780398,4.500299223264801,0.7648776393574004,0.2107932792548529,0.0649107813393766,0.6547534578455945,0.1785952866745698,0.014880256016099862,0.02986828537966968,2.2706558647445085e-05,-0.010991222011701857,-0.0019756971172865123,0.16709727092525656,0.011013928570349284,-0.01687865969203383,0.17861799323321725,-0.002505197413545414,-0.016855953133386375,0.015517529659828666,0.015517529659828666,0.018370269630356338,0.004458187972184491
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31493378606588585,0.08861329759292995,0.5829228804669079,1.6457464585648816,0.7575771440920419,4.61799171127367,0.766582586138932,0.21585995288572,0.06488216815207809,0.6536458451000878,0.17805915834429803,0.015060060458214255,0.02965389755583636,4.3274910259322175e-05,-0.010876724591923514,-0.0018152813425899306,0.16630201610042722,0.010919999502182852,-0.016918616711063532,0.17810243325455735,-0.002738973904796535,-0.016875341800804203,0.015517529659828666,0.015517529659828666,0.017896755311965537,0.0045109803371271625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3091818491934651,0.08648897832821985,0.5767187688121983,1.6401355516715979,0.7569136357458569,4.535269633738216,0.7587431467921878,0.21343571476468298,0.0647929990034318,0.6478146486654578,0.17548914009855898,0.01464815531873451,0.030303636205050666,-0.0003792276369847941,-0.012226620580920944,-0.00209365778968236,0.1630212431071407,0.011847392943936155,-0.016362585471432087,0.17510991246157415,-0.0019557065631949436,-0.016741813108416877,0.015517529659828666,0.015517529659828666,0.01783573921363226,0.004428591989862107
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3103993586265139,0.08831312965141797,0.5690672701932515,1.599016347451117,0.7379051894326889,4.480343924011036,0.7314984316587024,0.21892471348178655,0.0648695684829793,0.6234800922699941,0.17545789787313398,0.014066469215182861,0.029531325593804114,-0.0002546418620212876,-0.011835424158176455,-0.0020693579722437516,0.16331515857172885,0.011580782296155102,-0.015881185325405278,0.1752032560111127,-0.0021220312534511385,-0.016135827187426597,0.015517529659828668,0.015517529659828666,0.017388586292399012,0.004446031087716186
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31317126412833873,0.0868083935046268,0.5888729956953493,1.6811819997074169,0.7741946487173039,4.6562687213419425,0.7900186590281771,0.21092361751169303,0.0648064065828941,0.6747521309511805,0.1777642829466996,0.015535474302766705,0.03041196802640017,-0.00011425904841295964,-0.011374572097834074,-0.0018652198613126475,0.1656344158642574,0.011260313049421093,-0.017286435115666424,0.1776500238982866,-0.0025062557975078573,-0.017400694164079376,0.015517529659828668,0.015517529659828666,0.018282100943958005,0.004485734707233497
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3209968859768745,0.09057587838321952,0.5732442135014139,1.6680627650725586,0.7696900679224465,4.508522148005649,0.7897773920956697,0.2037956638748781,0.06496454826373406,0.6543760701247068,0.1698774301110679,0.0153642916552194,0.03077588201975684,-0.0004027008932471765,-0.012127806685456849,-0.002044592732787398,0.15724098323707256,0.011725105792209752,-0.017006183494759644,0.1694747292178208,-0.002150532028078682,-0.01740888438800679,0.015517529659828668,0.015517529659828666,0.018139435145761457,0.004597825654113212
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.30419884374045814,0.08489261595213564,0.5854027335087191,1.6206355749823096,0.7463723113959333,4.632605565069619,0.7393260630171923,0.22445797719648788,0.06472599105581718,0.6472589884686052,0.18280106037030078,0.014402085033105076,0.029340045639673407,5.880320551987506e-06,-0.011142671202292675,-0.0018917643815858087,0.17108470043529972,0.011148551522844649,-0.016299729735242886,0.18280694069085274,-0.0024713334348462207,-0.01629384941469091,0.015517529659828668,0.015517529659828666,0.017623685704672307,0.004357217495880057
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31162589469315294,0.08774529020914183,0.580183604352657,1.6464552466152522,0.7589983118478911,4.5766947544338175,0.7646642832811499,0.21402293970872477,0.06484573319584674,0.6527385822216828,0.17663965773348633,0.01487781408550294,0.030094990480428574,-0.00020906099264644817,-0.011681113158459128,-0.0019770926108797493,0.16444913031747782,0.011472052165812669,-0.01664584570373622,0.17643059674083983,-0.0022774458757827245,-0.016854906696382677,0.015517529659828666,0.015517529659828666,0.017904463064420065,0.004463599479308912
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.31213259416788447,0.08728090921397215,0.579214111553339,1.6397470826026843,0.7557636157906865,4.572402852573322,0.760608205234871,0.2150557529823029,0.0648262406183069,0.6487858610283851,0.17676167896627523,0.01481313612955258,0.029916705123686937,-0.00015613931076598198,-0.011515090360653707,-0.0019503786275062857,0.16467648862916112,0.011358951049887704,-0.016607375446292885,0.1766055396555093,-0.002364339293200652,-0.01676351475705888,0.015517529659828666,0.015517529659828666,0.01783151478657285,0.004470857231472946
