E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,B4,B6,B7,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44519785332563816,0.14759039625314277,0.537555331226045,0.13083986657805888,0.44006588588196877,0.3934318231757595,0.1869261699670128,0.2748729411064707,0.2403957301384772,0.5425164684118398,-0.005607999330879781,0.0018126647382641296,0.0575511867827072,0.03728062755875096,0.002343018109812597,0.0025704498249428964,-0.006305523214265361,-0.00020941121963975046,-0.00718826047121447,0.0637712379678543,-0.0004622516411976717,-0.053762040209629346,-0.12758247735428763,0.049638942327825966,0.024798425072186863,-0.0003586957479412506,-0.004208621383954012,0.01710221759054971,-0.12042899949661678,0.06887386800648745,-0.0019162206315205474,-0.03131396574575001,0.021243225271374955,0.02124322527137496,0.042092807404037584,0.009141496865404997
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4462771487124046,0.14702142278841251,0.5389465810495829,0.12978693448380232,0.44297965893544183,0.3967352600837327,0.2003463802028088,0.2765630255483773,0.23943633942721826,0.5641211427619776,-0.005846463429243911,0.0018126352472629104,0.057027857121474686,0.03744445673033373,0.001845327753464323,0.001500790240629319,-0.006246788554330444,-0.00034105941091224987,-0.008099304182388741,0.06433731679347507,-0.0005102117478552291,-0.05390127964405502,-0.12838887650491662,0.04976856081819573,0.024868325166201754,-0.0002967346332412614,-0.004221750760501566,0.016988649040398027,-0.12109326955932495,0.06978369212104116,-0.002026112361876879,-0.031773296580003836,0.021243225271374965,0.02124322527137496,0.041930536070150654,0.009797803094892577
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4466301450000366,0.14725577448404292,0.5380894895324511,0.13254300315884776,0.4412761254663345,0.39365850386733964,0.1846671939534937,0.27526253562059483,0.24197141785169327,0.5388798308123276,-0.005351342861932246,0.0018130685691462385,0.058356652616440186,0.03737213362414449,0.001520920947679586,0.0036927907615658946,-0.006416734774747116,-0.0002001950978922848,-0.0069984903781263675,0.06379651972612611,-0.0003859395517071991,-0.0539228310093084,-0.12798031265782034,0.04980674477325412,0.024803677911507768,-0.00039258536247268466,-0.004182436770419443,0.01711277615354102,-0.1204804376246651,0.06917566545354756,-0.0018064227583807525,-0.031520769646952274,0.021243225271374965,0.02124322527137496,0.04199737321565205,0.009031023184003112
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4522884886318187,0.14555675460299886,0.5413107841163468,0.13663263375569387,0.4483973481009616,0.39815564190189584,0.19311287241929853,0.27839780337094533,0.24574309120767449,0.5524761999983325,-0.004821043702954098,0.0018138602781131198,0.060262116561028777,0.03783979438049337,0.0017197768097588217,0.002621005435488977,-0.0033476725414864805,-0.0003241975669823344,-0.00745838969639861,0.06452579040427327,-0.00020206448076794808,-0.05457815612116969,-0.13014752902000176,0.05047343233912861,0.02489315463430023,-0.00042634091597858713,-0.00411591956146551,0.017007510061308163,-0.12138901960495589,0.07116634690224233,-0.001589583842902486,-0.03269363914994206,0.02124322527137497,0.02124322527137496,0.04151281244175349,0.009444053329728551
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44115617768316495,0.1485921655183782,0.5358558855787585,0.12648061915920472,0.4362887616964414,0.39221090947129883,0.19048436544893,0.2735117775219895,0.23634830097005072,0.5482446688878579,-0.006248260695174462,0.0018114162644082897,0.0554944140930122,0.03700385782987885,0.0016194586604940924,0.00278106810311931,-0.009028494468701236,-0.000210062712459054,-0.007527190518872978,0.06359852833846982,-0.0006568128228373656,-0.05330471390179075,-0.1263690388431547,0.0491648573645552,0.02476906289384419,-0.00027936322561671837,-0.004276123848336295,0.01709245010737952,-0.12016306536297383,0.06789877244946987,-0.0021888658616289365,-0.030675475380270323,0.02124322527137496,0.02124322527137496,0.042378512177622674,0.009315507988888583
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44630227100435566,0.14713384239075533,0.538236708882391,0.13129053934830057,0.4421649835791108,0.3954187930463883,0.19175095009459964,0.27585340214810045,0.24091829951363106,0.5502836942328998,-0.005580454379827696,0.0018143483396932277,0.057754958653584355,0.0373438394526889,0.00166773198550775,0.0027058746121792127,-0.006339703983521091,-0.00014753103126316156,-0.007492169226467485,0.06411351561715725,-0.00044765582162581245,-0.05389289127376636,-0.1281849833751661,0.04977031979685434,0.024844644141632885,-0.0003465617899868524,-0.004197387541284627,0.01704253407156002,-0.1207618933027252,0.06950066358188095,-0.0019154423713321853,-0.03165247498797952,0.021243225271374958,0.02124322527137496,0.04196259816084209,0.009377449447220515
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44660555541611674,0.14716293957073592,0.5386673760845613,0.13130893583311257,0.4419436837732798,0.3947416829432538,0.19171696981157949,0.2758429710770655,0.24075381214034292,0.5502289906972564,-0.005569572797755284,0.0018116431141366096,0.05775994321119024,0.037453680843889406,0.0016665906212032025,0.0027044116649113633,-0.006340482779897426,-0.0003574483651488762,-0.007496435320607666,0.06398083200670605,-0.0004372125895832097,-0.05392921896329682,-0.12814714196862168,0.04980485088422405,0.024823091472991048,-0.000351633138595632,-0.004202397113657927,0.017068252932524675,-0.12075162148683993,0.06940807435225023,-0.0018972225651241893,-0.031619889599722145,0.02124322527137496,0.02124322527137496,0.041970896681775824,0.009375787664652729
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4364436565696463,0.14638793054009755,0.528365895793971,0.12908951895849352,0.4261410384199758,0.38131143132181644,0.2174243391563364,0.2658235546632177,0.23969118267565215,0.5916142844693885,-0.00484543809620025,0.001825906363371197,0.05681740752339819,0.03598721862738673,0.002204474264713859,0.0035350519790359348,-0.0062111995992772595,0.0001036751459665107,-0.0048707099966555905,0.061835466276753806,-0.0005891597542415847,-0.052716802423294816,-0.1235273739632331,0.0486458448396404,0.023533066903530145,-0.00048375149346830976,-0.004171756926085023,0.016691108700123636,-0.11692885972187694,0.0647349782049569,-0.0019313146241444704,-0.029757958963870373,0.021243225271374965,0.02124322527137496,0.041749863967647884,0.010632989030969577
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.45245877522589856,0.14757730821094,0.5445290284659631,0.13260941021485947,0.4517719681858859,0.40341281394397405,0.17563996113640037,0.2819567336068762,0.24145868392836795,0.5243472399013468,-0.006025196279739697,0.001804512929698848,0.05831353120714715,0.03826462732413133,0.0013312840754112422,0.0021870072984945333,-0.00641675003306583,-0.0004919316211225329,-0.009135381378142416,0.06538357512282614,-0.00035253593555275263,-0.05462719455312276,-0.13100287658786197,0.05047275520880119,0.025627782451642378,-0.00026616575639560117,-0.004217653977625035,0.017267656808303083,-0.12307290812051215,0.0723718681131997,-0.0018908831088559966,-0.03278892091446782,0.021243225271374965,0.02124322527137496,0.042089074692060906,0.008589552519326771
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.33324332767464476,0.13149501991642062,0.4596347425982272,0.10658280575230207,0.3597428388724927,0.42984836653980185,0.1798707870194017,0.1886450099583955,0.2744586135103121,0.5311582818916261,-0.0023002205074127355,0.0026504308470829937,0.04726126071396682,0.02861977433862662,0.0016644092810673252,0.0029294429731502995,-0.004990999292371371,-0.005540237757300354,-0.00785291484329069,0.03760453252857749,-0.004543592198706051,-0.04030100308459824,-0.09835250118008743,0.036945729901209465,0.016451587647235075,-0.0004724296046121363,-0.005053279811880411,0.011178065870318436,-0.08459639578331157,0.05633905229632336,-0.006721593441176911,-0.023831138744899744,0.02124322527137496,0.02124322527137496,0.03750240319458168,0.00879645817386665
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.5421095787726418,0.15797742942922374,0.6002498401357325,0.15298306629401567,0.5092373561762433,0.3747817282713701,0.20139401434892107,0.3523182531450396,0.22229889615939255,0.5658076882159727,-0.008381066236092558,0.001241937666613258,0.06701265681023147,0.045421800575816976,0.0016987969039152775,0.0024857549788545826,-0.00756110098069728,0.003468705562066597,-0.00720963646024519,0.08439560316376425,0.002574614682910604,-0.06536604922948955,-0.15205637508365527,0.06066212589316292,0.032265639208813764,-0.00032643563721061666,-0.0033193817246027456,0.02254418825516566,-0.15102891497844956,0.07999822659571079,0.0016591126535079638,-0.0383240610455987,0.02124322527137496,0.02124322527137496,0.04505519112330221,0.00984903692835991
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4456171991060319,0.14700594244735182,0.5377919701644502,0.13092119011351935,0.44116931574695106,0.39479554844761267,0.19157165174867585,0.27512492447447023,0.24257937425761444,0.549995048801335,-0.005556700559345724,0.0018441588640172148,0.05758511632032018,0.037312358649804755,0.0016660241728720495,0.002709165059016054,-0.006318175150947861,-0.0002778066082694229,-0.0074993550555988156,0.06402701922170803,-0.0002851712136762892,-0.053812545066436734,-0.12788166597855524,0.04969294195153088,0.024737987735452785,-0.00030444929122396425,-0.004203622110549424,0.017004379778940003,-0.12047308772814627,0.06925131441770707,-0.0018248807864695432,-0.03154804787249961,0.02124322527137496,0.02124322527137496,0.041926121074111894,0.009368680983888045
