E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,B3,B4,B6,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.16494073185790922,0.02817218566962227,0.23967086261477602,0.20211689903150848,0.025516954608971798,0.9339482645944743,0.010032053227841776,0.26556697440445853,0.20110832620625527,0.7370857252411166,-0.00632090711401229,0.007807748075719639,0.0015553821416666946,0.00540212032575247,-0.02331036692550048,0.014226812997093358,-0.010080465951123985,-0.008464376002030902,0.0008676630353311263,0.0006191779263762205,0.0008702781812048623,-0.00834252473458802,-0.0168069007366189,0.0002511002548286449,0.0002511002548286414,0.022569337731681356,0.0006365953534068755
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.1520992439505247,0.025648604386670937,0.2043235325678153,0.18336139820436742,0.022874739928368453,0.8577253803992252,0.00853279699210955,0.24542739806420713,0.23769945360154915,0.5683779771660343,-0.00535212979710501,0.006775212033690086,0.001300418346577522,0.004593169793438381,-0.021264415909196345,0.012776088057822163,-0.009625467164104048,-0.007587237294564814,0.0005219916797757056,0.0009010905568093722,0.0011521908116380146,-0.007951284672690295,-0.015538521967255138,0.000251100254828638,0.0002511002548286414,0.020727372730512488,0.0005414583429108945
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15788402019489817,0.026778459705691624,0.21988953673323286,0.19174455735265647,0.02405133708777794,0.8919844757277247,0.009192707656715553,0.25451105533951995,0.22867328748215704,0.6165219754479159,-0.005778265180590165,0.007231542700418711,0.0014120144103549719,0.004949584495305242,-0.022181367803992318,0.01342214825719789,-0.009837490817580462,-0.007977626216176667,0.0006716841892107812,0.0007815933306177638,0.001032693585446406,-0.008133113042923246,-0.01611073925909994,0.00025110025482864146,0.0002511002548286414,0.021555261300121167,0.0005833337250700484
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15630845088914172,0.026469595602005114,0.21559196425361707,0.1894506036424205,0.023728655619518653,0.8826409303920862,0.009010462358175606,0.25203881927862287,0.22155916264672715,0.6290644617658183,-0.005660534326589369,0.007105825724769008,0.0013810941475312457,0.004851209321322799,-0.02193085641625718,0.013244973201838742,-0.009780888197016157,-0.007870528040182895,0.0006299362239440996,0.0008153551742355392,0.0010664554290641826,-0.008084496544007835,-0.015955024584190777,0.00025110025482864146,0.0002511002548286414,0.021329469745846617,0.0005717691422646741
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15601108151305235,0.02628737826644592,0.21866039011954724,0.18779122614442148,0.023664978357068746,0.8725006360514987,0.00896815182509111,0.24880538932133175,0.22009034293299518,0.6289547406380226,-0.005632970024548461,0.007150054565688374,0.001367184578148992,0.0048348697256430685,-0.021781789270937428,0.013159079579958415,-0.009693529560116303,-0.007822474264421658,0.0007168491145825538,0.000800235426557357,0.0010513356813859967,-0.007925344764147732,-0.01574781902856941,0.0002511002548286345,0.0002511002548286414,0.021084424344106168,0.0005690842792435986
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.15695333771775238,0.026638171259295088,0.2160256144034852,0.1908068225193238,0.0238615419576166,0.8893192073062681,0.00908761399844083,0.25399371938820753,0.2244853289729735,0.6247719847817365,-0.0057104510712701236,0.007134040832790622,0.0013964850767934252,0.004890630881870573,-0.022068020797413636,0.013335293258267001,-0.009830250482920366,-0.007923804320016572,0.0006146665423904449,0.0008089232191300577,0.0010600234739587058,-0.008155560466571204,-0.016079364786587794,0.0002511002548286449,0.0002511002548286414,0.021490853724838225,0.0005766648873938739
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,1,0.0,1e-06,0.0,0.1044289469004724,0.0139450596098804,0.14339582032067444,0.12229090175705222,0.012208857766688626,0.5700394532564278,0.003890614403861502,0.2598573743332895,0.262991107742162,0.2821620879977823,-0.0024036933431349603,0.003470530823246257,0.00045102093890155503,0.0021995557685416714,-0.011602326510046772,0.008546014757092104,-0.006547218066045964,-0.003102436039767402,0.0011129617669240312,-4.612428681273343e-05,0.00020497596801590835,-0.005229280331106034,-0.008331716370873425,0.00025110025482864146,0.0002511002548286414,0.013775295088198126,0.00024688336430826654
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1,1,1,0.0,1e-06,0.0,0.18089771651645006,0.03421303044906622,0.2353517612984491,0.22777802716857531,0.03050048263794899,1.0714991586572706,0.012313319462239855,0.22531867717453066,0.23164528168238627,0.7756099418819602,-0.007775146538270081,0.009025913495112146,0.002122794354892656,0.006433707881622966,-0.02829641300759901,0.015795878306643606,-0.011599314378948986,-0.0110447464452726,-0.00020502129884073655,0.0014557882556828006,0.0017068885105114492,-0.010097447167278312,-0.02114219361255088,0.000251100254828638,0.0002511002548286414,0.02589332547392189,0.0007813556982455384
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,1,1,0.0,1e-06,0.0,0.1567136834439804,0.026548953820413987,0.21669314308948495,0.19003983936532864,0.02381148984429768,0.8850431678888641,0.009057155832371525,0.25267480334670805,0.22599173871695197,0.6258359693331591,-0.005690695158411905,0.007138057642882641,0.0013890090431916957,0.0048764182480469835,-0.021995232714997048,0.013290455623347795,-0.009795528214505165,-0.007898018385271672,0.000640603778093155,0.0008067587063775776,0.0010578589612062206,-0.008097065475205778,-0.015995083860477464,0.000251100254828638,0.0002511002548286414,0.021387521098553585,0.000574732132826774
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1,1,1,0.0,1e-06,0.0,0.15671368431754792,0.026548954018989355,0.21669314529436498,0.19003984048790143,0.023811490077883538,0.8850431728072081,0.009057155934680077,0.2526748046229544,0.22248530325126975,0.6258359792523617,-0.005690695158411906,0.007138057642882641,0.0013890090431916957,0.004876418248046986,-0.021995232714997048,0.013290455623347797,-0.009795528214505168,-0.007898018385271672,0.0006406037780931568,0.0008067587063775785,0.001057858961206224,-0.008097065475205834,-0.015995083860477467,0.00025110025482865013,0.0002511002548286414,0.02138752109855358,0.0005747321328267741
