E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,B1,B5,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11359918202009428,0.04399271639390032,0.49001995506922785,0.04673235137191364,0.05197934365855303,0.034462130451017564,0.04252511944543852,0.15002170432630746,0.047921553978391686,0.0031039469446833092,0.0023556970225275028,0.006077987218364104,0.0037222901958366,-0.003488338907557372,-0.0034883389075573736,0.00038361091966547176,0.011403824736059014,-0.003488338907557373,0.0007285032128884316,0.0018611450979182992,0.0016271938096390718,0.014892163643616386,0.005733094925141147,0.002010804729304544,0.014892163643616386
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11742043778897542,0.04380553438314886,0.5007357406620426,0.046682683074242434,0.05306834470945309,0.03881079506199291,0.04254486399806087,0.15013423911124088,0.05985647806824893,0.003245268473288278,0.0024591014246248787,0.006189947274745014,0.003730845850120134,-0.0035135096516520914,-0.0035135096516520914,0.00035416234842898867,0.011389824951795434,-0.0035135096516520914,0.0008110146980328558,0.0018654229250600666,0.0016480867265920237,0.014903334603447525,0.005733094925141147,0.0020022490750210096,0.014903334603447525
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.1162299628750566,0.044339566642000866,0.4894539913791432,0.04682438725346461,0.05245727088743797,0.038714105585769425,0.04256135568905797,0.1500701181951245,0.0602102341173977,0.0031803083829391498,0.002410510279485825,0.006116946757334291,0.003706436477848466,-0.0034693106766219613,-0.0034693106766219613,0.0004105660095949544,0.011427658853317887,-0.0034693106766219613,0.0007944178417880964,0.001853218238924233,0.0016160924376977283,0.014896969529939848,0.005733094925141147,0.0020266584472926814,0.014896969529939847
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11495124958758707,0.044082274356589665,0.4911862333294071,0.04675611536254406,0.05227379458556853,0.03641403887079901,0.026893222720163368,0.09486195252991408,0.05348192688762205,0.003146744250631214,0.002386660973160579,0.006104857682854836,0.0037181967096942548,-0.0034853032550692243,-0.0034853032550692256,0.00038869331522479317,0.005931332337576307,-0.003485303255069225,0.0007604560729384826,0.001859098354847127,0.0016262049002220972,0.009416635592645531,0.005733094925141147,0.0020148982154468906,0.009416635592645531
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11802584324428726,0.04428771256297413,0.49386617503458724,0.04681062789794627,0.0529521733194711,0.040858817974685345,0.057089133199818246,0.20131056384880197,0.06614609008267915,0.003245851666885044,0.0024583884104516047,0.006167195017628006,0.0037088066071764014,-0.0034782224464954955,-0.003478222446495496,0.00040046917505744996,0.016505218439526587,-0.003478222446495496,0.0008345692675443088,0.0018544033035882033,0.0016238191429072955,0.01998344088602208,0.005733094925141147,0.0020242883179647487,0.019983440886022087
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.1865566693782039,0.049416873275678286,0.5626464708995395,0.04817163839280784,0.0712169153141691,0.029644638546527876,0.04326071860684287,0.15136404717475943,0.0376324628556668,0.006106795677639069,0.004523246462707107,0.0079976110652998,0.0034743646025926916,-0.003253752211620627,-0.0032537522116206246,0.0007421604122241753,0.01177166141375513,-0.0032537522116206264,0.0030066765523828268,0.0017371823012963489,0.0015165699103242794,0.015025413625375763,0.005733094925141147,0.0022587303225484567,0.015025413625375758
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.0921892979882576,0.0426419333936555,0.4725857099983939,0.04637392434211513,0.04763277972443219,0.044489392151739186,0.04229907822405531,0.14953246156473873,0.07567184104987816,0.0024899547968686656,0.0019127888442973793,0.005696820188846798,0.0037840313445494187,-0.0035301358220267516,-0.003530135822026751,0.00031094343083968613,0.011313462293691836,-0.0035301358220267516,0.00027466869454533666,0.0018920156722747098,0.001638120149752043,0.01484359811571859,0.005733094925141147,0.0019490635805917299,0.014843598115718587
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11734675714878141,0.0436519453162319,0.48512199988613663,0.046641928583658385,0.050805232446529146,0.038775441449378015,0.04250162983202567,0.15001683878532326,0.05978331552363299,0.0028596680111748134,0.002135468876337362,0.005873334925423136,0.003737866049085773,-0.0035116228322277466,-0.0035116228322277466,0.00035253906837051305,0.011380057825057393,-0.0035116228322277466,0.0004927790686525022,0.0018689330245428854,0.0016426898076848599,0.014891680657285139,0.005733094925141147,0.0019952288760553727,0.01489168065728514
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.11602523951693026,0.04455218041755434,0.4976283619642647,0.04688080380893801,0.053871361075751044,0.03871693266232699,0.04259281593076639,0.15013236740981242,0.060334035630286144,0.003429151587020658,0.002620736924882635,0.006317455321638532,0.0036967183967559006,-0.003461147664899511,-0.003461147664899511,0.00042358806186368683,0.011442001140872342,-0.003461147664899511,0.0010079484583610742,0.0018483591983779481,0.0016127884665215622,0.01490314880577185,0.005733094925141147,0.002036376528385249,0.014903148805771853
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1,1,1,0.486177547764113,1e-06,0.0,0.14208775210198277,0.048460053521831255,0.5112019551641028,0.06943160522211571,0.062122754477994334,0.04597979571438332,0.06805786794740842,0.21237630766569632,0.06924530633044186,0.004817280931123141,0.0036785296574467917,0.007196628265210814,0.0035180986077640204,-0.004280060135477043,-0.004280060135477043,-0.0003060145142179064,0.01680184092663498,-0.004280060135477043,0.00115751882585176,0.0017590493038820115,0.002521010831595032,0.021081901062112017,0.005733094925141147,0.0022149963173771253,0.021081901062112024
