E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,B1,B7,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.2201774873300596,0.479426113099859,0.10798507059344793,0.36628644508241764,0.21015562854399347,0.4955269276907858,0.36070845843393456,3.1647655389810767,0.010599321347273292,0.0528293751088273,-0.016610053537423834,-0.09965407247273471,-0.04655017651691032,0.037150987475143435,0.03220633752682624,0.027195464199046476,-0.005207779560822589,0.04807670676875551,-0.03696255547825464,-0.02362174974410699,0.07997470910626421,-0.00021038970916137725,-0.01228454012031032,-0.0550264341957534,0.0083832206017143,-0.05747589581052236,0.025283997357095397,-0.07683397580380756,0.030198872878821014,0.00013121814583103453,0.0001312181458310352,0.00368209575069593,0.030198872878821014
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22445713579865142,0.5066762982070221,0.11326821072430578,0.3556762254230264,0.21970383612596486,0.5040234235466832,0.36298717364448263,3.233979214898777,0.011190160060251284,0.05129906657052769,-0.015153415017639477,-0.10191358511560808,-0.04971599204709009,0.040742816701099735,0.029898348485709464,0.02163554689768367,-0.004745034951921603,0.049454908148741046,-0.03807862212758881,-0.02488560643572567,0.0839833878779888,-0.0004118873655923746,-0.011686509498027547,-0.05368585747255446,0.008973927603340084,-0.05842808349473136,0.023267849673828556,-0.07812607612876309,0.029324102111264422,0.0001312181458310354,0.0001312181458310352,0.0038493880321728434,0.029324102111264412
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22397996007809975,0.47655562589677075,0.11158715084605342,0.38098197376531323,0.21446921304736966,0.49833207203555985,0.37105654757662243,3.263413929787949,0.010537083422722584,0.054948906441843276,-0.0173611535677179,-0.1032178841234645,-0.0472863653414933,0.03707356158730522,0.03041594009345283,0.028837595503484525,-0.00503711024487615,0.04973683875447542,-0.03961582840469782,-0.0244687179855448,0.0825625862303907,-9.12701166576671e-05,-0.012891728147486764,-0.05565840530742823,0.00902062140704532,-0.05994964250866351,0.024139857641408663,-0.07797541890948909,0.03141046126419513,0.00013121814583103453,0.0001312181458310352,0.0037576732228778095,0.03141046126419514
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22327118574547244,0.4798136319676787,0.1099390249569922,0.3686538349238983,0.21293245908665637,0.4927226670391156,0.36586338376497113,3.252219167671271,0.010607723534202184,0.05317082297741077,-0.016571738790470865,-0.10285490359912969,-0.047136296310148755,0.03746040747650396,0.028991717397001737,0.026259878287387323,-0.002650680514853547,0.04838520041219318,-0.040902884266046435,-0.024064011223610522,0.08141708945283341,-0.00014345092009863513,-0.012325973702544553,-0.054056629704514136,0.009022391686433056,-0.05806108924583796,0.023506584618496876,-0.0777899912916173,0.030394054835012167,0.0001312181458310354,0.0001312181458310352,0.003730748056667366,0.030394054835012167
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.22480461592622666,0.4906789311984377,0.11395875078127556,0.3768551016262456,0.21872692498988983,0.506310831559987,0.3708867965766973,3.255756723527465,0.010843305031662726,0.05435368901245705,-0.01675785947238599,-0.1027738657361224,-0.048786378185155174,0.038845241323561944,0.03134961691984081,0.026922411551872805,-0.006955287416656562,0.05077097717486713,-0.03760967878356247,-0.02505433090364999,0.08435485127999164,-0.00022777389707480302,-0.012678209253200113,-0.055923071765085264,0.008984401349475158,-0.06071211403646036,0.02418687043307463,-0.07820041089087795,0.031070216931411234,0.0001312181458310354,0.0001312181458310352,0.0038322717628258315,0.03107021693141123
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.245548858813703,0.5965794193787217,0.1254327471695417,0.47081297631980096,0.2485581118311186,0.5685437806429752,0.33608974973207584,3.3146061312197728,0.013139440191630231,0.06790520278877805,-0.02290039092622094,-0.10213807833787997,-0.061799069325966724,0.04289315919403147,0.03482979533306621,0.02689717605393474,-0.003223964314246923,0.040416463866922124,-0.03564682738118946,-0.027608433439472814,0.09187776712703884,-0.0009161852356678228,-0.016641415228162065,-0.05166939220586764,0.011567419540333862,-0.05932237399885742,0.025945632569979046,-0.08529848146507853,0.03881667315966841,0.0001312181458310354,0.0001312181458310352,0.004354938165183507,0.03881667315966842
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.21242302183643344,0.42867872426109627,0.10483203521266297,0.3224949291052395,0.19914318524459426,0.46328153354848756,0.3893255206751315,3.215098623648658,0.009499016090975906,0.046513338970438405,-0.013492630760399084,-0.10292159143438583,-0.040571811539882874,0.03537147313143449,0.027631594407171223,0.026637549691212598,-0.005703330401364731,0.054189856890359385,-0.040842323253712814,-0.022954107280978714,0.07802726513682984,0.00016981295859207733,-0.010393892090852704,-0.05650765330977557,0.007754295830383055,-0.05939019529880778,0.022541348593824062,-0.07404553253178146,0.02658843508643124,0.0001312181458310354,0.0001312181458310352,0.003489148880995462,0.026588435086431245
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.2344758654204499,0.48153696021097814,0.11243673203619602,0.3723528082320448,0.2135063762245738,0.4844506132920179,0.3718095886064482,3.253251248614619,0.010645088749788995,0.05370432469727278,-0.016576273328437335,-0.10122323909719849,-0.04689392759124254,0.037963818713267164,0.03464293988946217,0.025256286209678597,-0.006104203263496992,0.049030719237077774,-0.02725692616177766,-0.024508555799367848,0.08329566608126698,9.546537737421899e-05,-0.01224593912874582,-0.05406331252176519,0.011359136378883913,-0.057960828115053147,0.021402377578567555,-0.08180286646489546,0.030699020596684654,0.00013121814583103453,0.0001312181458310352,0.003740803546826817,0.030699020596684657
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.2182188042678782,0.4878766180985592,0.11188013603659053,0.3734094672618209,0.21741808858499956,0.5086166116162038,0.3667770145888729,3.2542938930736094,0.010782545258516876,0.053856726286235786,-0.01672487020615615,-0.10369704979238425,-0.048635241307823616,0.03833009349785442,0.02777698112881899,0.027366582128394296,-0.004302123330749454,0.0499969113329461,-0.045757343310557086,-0.024638746142749385,0.08280657794252454,-0.00034850307142190486,-0.012665240565256839,-0.05560881274187032,0.007712427375586462,-0.06030205914291532,0.025246816002796657,-0.07586521817933291,0.030786137966559716,0.00013121814583103453,0.0001312181458310352,0.0038093398956272635,0.030786137966559716
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0125349435103624,0.20756150537402288,0.4856559326828917,0.11556936762053802,0.37659168189745656,0.20930428431460296,0.470604987323723,0.37687377541763695,3.049419355740033,0.010734396341077887,0.05431569607045745,-0.01655011380758687,-0.09670827879057917,-0.04504881952865666,0.03832023849219171,0.03239811721962135,0.024985134865523312,-0.004033741426646911,0.05005203745919514,-0.03362875593413406,-0.012874324451401683,0.08572312854545037,-0.0005693453447334872,-0.013057613130574769,-0.05701491952015264,0.006727793933230161,-0.05678061849566003,0.02000779001797237,-0.07209147649004788,0.031048499013616927,0.00013121814583103453,0.0001312181458310352,0.0036671795146134786,0.031048499013616924
