E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,B1,B3,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5969061214533671,0.9591127374320065,0.6417561570699267,0.4644904309695042,0.44478999940913355,1.0428757421386123,0.6708177177155425,1.3441862140026175,1.5256606906566057,1.062588413060213,0.4358584923328751,0.02865069598939282,0.01639095154580901,-0.16519416344137747,-0.09320250726922537,0.006384751710690469,-0.01010980814542823,-0.10353753429786819,-0.07879984110402583,-0.09341996566735497,-0.12559619375518105,0.009291633458937375,-0.19695497864473732,-0.012344232119822704,-0.011355943169112726,-0.2401651536226545,-0.07902505998724044,0.29418588984832056,0.04950382096852299,-0.24774799963657085,0.2338276738503958,-0.4330805990686179,0.0073026464646226905,0.5048518126588493,0.20960630247227244,-0.044434075598076654,-0.15136423947576746,0.4006094180553914,-0.3907998380755075,0.27710293252025175,0.018520908018853886,0.019286252404701866,0.27710293252025164
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.60111818462042,0.9590956141891046,0.6599825762815189,0.4687014759263078,0.4540211330897063,1.0553132942839467,0.6740581328286389,1.242774492947055,1.5385577381996896,1.0625504721679893,0.4391424744597434,0.028600619361762947,0.01884830292849296,-0.16644576727614374,-0.06994270123004159,0.00347695559915482,-0.011233072420602577,-0.09144072573948692,-0.0718133441072745,-0.09430080778166347,-0.12791445053556857,0.009765036433649758,-0.19852163740274117,-0.012338293003922356,-0.011652755491430414,-0.24155857133229774,-0.08207829619611726,0.2902216574282421,0.04918688415611716,-0.2454148846166892,0.2371408348310845,-0.44549542474819587,0.007628745765992602,0.5193273793702908,0.21612765973496395,-0.04429312072179069,-0.15464981269338723,0.4027444367761826,-0.39356802404064783,0.27709303825443177,0.018520908018853886,0.019686517640859328,0.27709303825443166
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5991363413864013,0.9579080903182507,0.65468589036071,0.46601873194961835,0.45151897064445756,1.050642103914436,0.6769851149964444,1.238838920491686,1.5301106495563657,1.0599208638853828,0.43697615946345697,0.028500325128580688,0.018122248134378356,-0.1655600665688517,-0.069119967185981,0.010040428119875721,-0.0115751623790891,-0.0910415816763801,-0.07160112172835618,-0.09391266267063159,-0.12730700611032975,0.0096535063823463,-0.19747705457841588,-0.012213576009447842,-0.01158965821702405,-0.24112936132538415,-0.08194757383966622,0.29061593749554987,0.049176511857411745,-0.24579349106606785,0.23688857672308958,-0.4418815165999923,0.007680055304775307,0.5151288786657071,0.2138505233862084,-0.04430811800585617,-0.15381546218648082,0.4047233165625871,-0.39153744627584824,0.27640728621955,0.018520908018853886,0.01957802298823447,0.2764072862195502
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5966703820682463,0.9541195354918673,0.6506241733786328,0.46422682426114725,0.44952191960073,1.044608151627084,0.6758607374222767,1.2119257828541046,1.523761270454281,1.0515534067164927,0.43494572611346155,0.028591720398986414,0.01755659609409995,-0.16491737640297083,-0.06952352690277444,0.006576649555791493,-0.006022324549047928,-0.08805542905233543,-0.06985370652200831,-0.09333789454953478,-0.12681244855829887,0.009604496854984575,-0.1967061795270022,-0.012245397378310229,-0.011535365462404103,-0.2400961816360287,-0.08236328412252136,0.28916019878792076,0.04904060484084811,-0.2448745084780769,0.2355923014087155,-0.4391128692773947,0.0075925617566215894,0.5119194956568391,0.21183038950365293,-0.044131176945025684,-0.15317663330214612,0.40414557745852087,-0.3902152763289594,0.2742252118709777,0.018520908018853886,0.019491430145442863,0.27422521187097754
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.603171275759741,0.9623772814856212,0.663227593825797,0.47010814728172773,0.4556132692316539,1.0603390137981605,0.675247625635226,1.2665856923601209,1.5436179018795715,1.0698342144409767,0.44079760564870746,0.028510188312549582,0.019307645905868073,-0.16695532154510306,-0.0695203014920587,0.007040218531230127,-0.016243721340755805,-0.09408686238545824,-0.0733629318016732,-0.09478376784647816,-0.12830833148110873,0.00980042959056951,-0.19913402660442026,-0.012301895232687522,-0.011696286819586732,-0.24244627990657788,-0.0816857713543169,0.2915316998137422,0.04930668368592376,-0.2462566492549203,0.23827251517741088,-0.44770748700751195,0.007709629963533651,0.5218905494108914,0.21777489126333888,-0.044451221035388136,-0.155155762469732,0.40338684896157606,-0.3945995364620729,0.27899250028399913,0.018520908018853886,0.019755553229654263,0.2789925002839992
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6013003109789362,0.9457688095845918,0.6641358057721929,0.46780733129869695,0.4570005423188276,1.068384966765349,0.6808625848044503,1.4597200558555656,1.5353462449697914,1.0332269685303446,0.4383545809432127,0.028401087624691575,0.020639115945527198,-0.16614021387102795,-0.06132944781480608,0.006934814234402495,-0.008096177902763482,-0.059055255926574506,-0.08630571671375355,-0.09562598937020783,-0.12876430428422175,0.010105431983635406,-0.19810102954267775,-0.011718766071785784,-0.011773926497787104,-0.24196624297114855,-0.07593534692275852,0.2966589990268815,0.049009501050344316,-0.2372981540456497,0.2389642746343186,-0.4482947665124224,0.007949127541387851,0.5226342906853321,0.21751910517696627,-0.04349101821785177,-0.1559422820564244,0.40779892027611175,-0.39264233103839735,0.2694460238978998,0.018520908018853886,0.01981570588359531,0.2694460238978999
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.5993053004118557,0.9663373029498699,0.6528440667057245,0.4669860361966173,0.449990243073686,1.0429401785041859,0.6721494492534478,1.1024869903122188,1.5333930179309256,1.0786567062325525,0.43780075854431183,0.028643008791986828,0.01710689067040317,-0.1658869612681911,-0.07467755594456883,0.006746682894596661,-0.013464033836883285,-0.11141439999602626,-0.062486683914980856,-0.09311838216710565,-0.12685395593909482,0.009456440750824394,-0.19789795185068718,-0.012629383639320181,-0.011521759532069666,-0.24092752531698375,-0.08575949412955501,0.28639519164284194,0.049288945622769795,-0.2507706267867409,0.23574490279649465,-0.44064711095614745,0.007465590251908946,0.513659677773784,0.21330314063347436,-0.044802102448679645,-0.15311845945016878,0.40117605518709587,-0.3924279219108652,0.28129323904364434,0.018520908018853886,0.019511736817621014,0.2812932390436445
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.596409101764762,0.9588221837337362,0.642029596681176,0.46209692677839176,0.44179122138118826,1.0015068417895174,0.6699437659464806,1.3838874187919588,1.5184056197430083,1.0619447093197238,0.43553957744583355,0.028356230829485927,0.014032706536679748,-0.1643731474344994,-0.06046753599986427,0.006415919477936998,-0.009474521372487742,-0.10829086677354566,-0.040976072393269114,-0.08884398324821094,-0.12447912383464926,0.009142016395532863,-0.19603396791164207,-0.013702748440339932,-0.01127107007816476,-0.24061298247073856,-0.07932488179446273,0.2643297213612525,0.049423309796437755,-0.2478473168778107,0.2332027085180714,-0.4333728961837193,0.007072548643844594,0.5050750197956074,0.2078405633804041,-0.04449544989813123,-0.1503278814192067,0.400046281769771,-0.38876334617562747,0.2769350667766467,0.018520908018853886,0.019156224323972626,0.2769350667766467
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6029048318138103,0.9582994080584719,0.6691906633530251,0.4713903596729376,0.46129449458072297,1.0931664309669415,0.6798220864118522,1.130482877527159,1.5464600232808678,1.0607870233009622,0.43992298339718006,0.02870509644832364,0.022048321493012724,-0.1672410564495433,-0.07653049886558573,0.007140228152438494,-0.012959647883967019,-0.07809216102995208,-0.09570308505978972,-0.09821876674979349,-0.13004381481504687,0.010149061248458954,-0.1994949111089851,-0.011152732763641197,-0.011893702324893366,-0.24185822855003658,-0.08430509934018908,0.31085538972220295,0.04898061111335111,-0.24395067592796726,0.23996156080138928,-0.451679248916676,0.008111039757362742,0.5266441945821042,0.22054409187230983,-0.04415410311884606,-0.15726545222648403,0.4065750549792093,-0.39544106400685197,0.27663316418992345,0.018520908018853886,0.020001893179276448,0.2766331641899235
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0485200316699605,0.6077196120425061,0.9572924101261212,0.6676397937762392,0.46719068911512135,0.42623148149189366,1.1098446197898633,0.6741236302858374,1.247563042709346,1.5373924402838877,1.0585588071860257,0.44498884010950013,0.02739308036134399,0.022946563726012996,-0.16624153483317503,-0.07117110067500337,0.007224809601823232,-0.010942863389050136,-0.09211878994253972,-0.07151323327713574,-0.05110941103535116,-0.11726153735212447,0.008366011670963742,-0.19826174777793215,-0.010009649749346164,-0.010633487442646038,-0.24636065157531734,-0.08151805915562196,0.3239103657505329,0.049707139742545633,-0.2406897561253873,0.2349253983297933,-0.45178152473915384,0.007141948944570348,0.5253567133167397,0.2036616363043326,-0.04423075866996316,-0.1444867145303023,0.40286507535224214,-0.3918963629724512,0.27605208762994254,0.018520908018853886,0.018481548474135925,0.2760520876299427
