E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,B0,B4,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.01365380905540438,0.13163753493399705,0.03322689229028869,0.02068826310622712,0.004786665408657018,0.11661949136338672,0.033704953126526604,0.06484194051509423,0.007746162629161107,0.005310727154265546,-0.003960533201341862,-0.0002152500974691641,-0.0010590397079239607,-4.6522331977867125e-06,-0.0013035936640479178,-0.0029014934934179005,-0.0037600230054277983,-4.652233197786665e-06,0.0008234644146988103,0.0006183019855869611,7.679813365589749e-05,0.0022329504279396902,-0.0029014934934179005,0.0006038413116072722,0.0005005924841844511,0.0014152093465211238,0.0002853423867152873,0.00189533859587023,0.0014152093465211234
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.004351993791142237,0.06940959829529962,0.01425228360796334,0.009424422268971368,0.0015878304167671446,0.1000607743645276,0.01970358198723881,0.026483993262754586,0.002279688970587127,0.001642393910725556,-0.0015593113313463508,-2.4442179558661323e-05,-0.000771438683579512,1.8820110518829043e-06,-0.0002944138325646176,-0.0007878726477668395,-0.0012182707915860047,1.8820110518828992e-06,0.0004930103738450325,0.00015385184513656887,-4.178263703728618e-05,0.000495348282369071,-0.0007878726477668395,0.00018422663551721782,0.00030978456627394864,0.0008273173762800872,0.0002853423867152873,0.0006287208349996722,0.000827317376280087
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.014211865161817815,0.13319560117839663,0.04172959627172033,0.023559684455796905,0.0063280671130647136,0.14566699416249218,0.042049664350268724,0.0794966075197484,0.01117165754133901,0.005453618299250131,-0.004963622941184107,-0.00030719346142108383,-0.0006876543484995298,1.1530265976942016e-07,-0.0011589853964340795,-0.004275968592684579,-0.005157242868755231,1.1530265976939305e-07,0.0004188984920209908,0.0006126337222518822,9.642712526266076e-05,0.0028328514483664117,-0.004275968592684579,0.0004500398515793057,0.000592535848136371,0.0017655885110764969,0.0002853423867152873,0.0025056754154895865,0.0017655885110764967
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,-2.799828303663851e-14,-6.355797597388058e-14,-2.940340335201561e-14,-1.7722004202738358e-14,-1.1071353073817471e-14,285.6513263636907,-6.828786660757982e-14,-3.610370793465002e-14,-4.314595058299086e-15,-1.0747062555013202e-14,-8.978554459432972e-05,3.9756899286086966e-05,-1.877345834181973e-05,-3.413507386022934e-07,-9.679617762607251e-05,-7.101208625250995e-05,-0.00013741028750095398,-3.413507386022807e-07,2.7690258012349686e-05,7.497365018037169e-05,-2.7275630823231558e-05,-7.471745547249659e-06,-7.101208625250995e-05,4.87568075303301e-05,0.0002455854874292003,0.00013344972063534085,0.0002853423867152873,0.0002025556402490637,0.00013344972063534085
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.00999318259702724,0.12043640829276442,0.02921269795594872,0.016991894661450787,0.004171823681095311,0.11404972684956194,0.031124714294536046,0.058347508192887323,0.007071075131949975,0.0038233696079716054,-0.003661068451291126,-0.00017857528611499047,-0.0009959347439843346,8.420383291229394e-07,-0.0007649946259646886,-0.0026651337073067905,-0.003664522862507758,8.420383291229462e-07,0.000419979953417581,0.0004242764029633346,-1.173266248747089e-05,0.0017899764868389372,-0.00266513370730679,0.00035329292381794787,0.0004639176728302778,0.0013068698363729047,0.0002853423867152873,0.0016518845089200126,0.0013068698363729047
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009460340859397443,0.11039568925584745,0.029078214244628944,0.017386773024494467,0.003884056366670827,0.11757258202857536,0.0324455149307748,0.054530151324844664,0.006569346332799404,0.003551343050848326,-0.003331376007352404,-0.00016141019874808653,-0.0008839580191024573,2.6766955069007015e-06,-0.0007138127474965335,-0.002447417988249948,-0.00317228439345741,2.6766955069007015e-06,0.0005382010590664439,0.0003817861406783509,-8.415379127739111e-06,0.0016317065866651912,-0.0024474179882499475,0.00034311868145282245,0.00044675258546337377,0.0013623278397789395,0.0002853423867152873,0.0015379395282090283,0.0013623278397789393
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009463054812523353,0.11038990299896093,0.029076438752183527,0.01738553163143328,0.0038841886819111922,0.11758189466251406,0.0324444173979873,0.05452715078063357,0.006569003584362352,0.0036012569800663937,-0.0033312097352035013,-0.00016141809124509387,-0.0008839156245808273,3.129873637714082e-06,-0.0007138327039737511,-0.0024472941106226742,-0.003171948122437574,3.1298736377140414e-06,0.0005381225403144133,0.0003819908011861998,-8.37556632415123e-06,0.0016315104608768873,-0.0024472941106226747,0.00034334734274941677,0.0004467604779603813,0.001362281756384352,0.0002853423867152873,0.001537991920043689,0.0013622817563843518
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.010035462430014807,0.1176217081223893,0.029059976316593263,0.018749318215135456,0.004108630338824983,0.11536706796815446,0.031358673844119625,0.058180079919746774,0.006923742164003053,0.0037936938287152287,-0.0035424618812675166,-0.00017480585440157796,-0.0009395891585253066,3.910526959428724e-06,-0.0007535093469049579,-0.0026028727227422085,-0.003495540513833921,3.910526959428711e-06,0.00044334038323657265,0.00040032954276240663,-8.419226827163621e-06,0.001737938962781011,-0.002602872722742209,0.0003655095579291434,0.00046014824111686515,0.0013166933700249344,0.0002853423867152873,0.0016268623336933201,0.0013166933700249348
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009212957969318503,0.10725625089295132,0.029082321071222106,0.01679264567637047,0.003786546667314275,0.11862485554481116,0.03293676602118974,0.052941615166646215,0.006414856100443451,0.0034971329130171025,-0.0032395731304599353,-0.00015559382411251254,-0.0008598651142217052,2.629509351281579e-06,-0.0006965177685702172,-0.0023797080162382294,-0.0030307333473910836,2.629509351281562e-06,0.000580142970779693,0.00037393269706212205,-8.393761226359303e-06,0.0015852901735151797,-0.0023797080162382294,0.0003336083420857359,0.0004409362108277997,0.0013829545747291018,0.0002853423867152873,0.0014993293725196265,0.0013829545747291018
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.01090153124785369,0.10727665895996377,0.028125868548342946,0.01672187824540375,0.003953171305046524,0.12268405624695881,0.03185044426941531,0.052914459962197416,0.006384591458036313,0.004224149117990542,-0.0032416314223801136,-0.00016553284887588026,-0.0008610579323601536,-2.640685025003771e-06,-0.000724295367722961,-0.0023805734900199603,-0.00299321811737576,-2.6406850250037237e-06,0.0004963308469254908,0.0002452768568961312,1.168083914809156e-05,0.0015278815869003387,-0.0023805734900199603,0.00046469698665373453,0.00045087523559116756,0.0013373419108970198,0.0002853423867152873,0.001565306431694491,0.0013373419108970196
