E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,B5,B6,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.788016696400363,0.08405737530153891,0.15081794048590774,0.7091886796856698,0.0660741414303267,0.08748707183018205,0.227843668867944,0.31259023158443583,0.09557128800602088,0.39634788939500254,0.00018046618425418548,0.004979569728362783,0.005851884060174433,0.04919214538718377,-0.03871613914270242,-0.0009720243052920921,-0.0037988367551472844,0.0251739739653329,-0.03392221972617295,-0.008119424949390004,0.01757310858608253,-0.005969244831374578,-0.012818521880468885,0.0008356287326783151,-0.022817392670241573,-0.02754608269152207,0.021874191694598373,-0.026365050242067093,-0.038041468671861214,0.004158647483431846,0.016005145058608637,0.016005145058608637,0.08308897370176047,0.006363739144481178
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7870762319332371,0.08962517753427199,0.1527097902340713,0.7508885841735944,0.07001549748956896,0.09069159656915017,0.2530940904665367,0.3105128453070045,0.10925489358194218,0.3943630162026742,0.0020316240495253934,0.00541358958487111,0.006461690631941255,0.05762183148675851,-0.043884028239663225,-0.002451100264060299,-0.010976328825148004,0.027084116538563918,-0.03378798635076698,-0.00945830982239855,0.01714822393548088,-0.0063440219065164895,-0.013604627883096016,0.000920757720622137,-0.022804623113867203,-0.02927050754032623,0.021843419092492992,-0.026142351228903148,-0.04034986143428617,0.004851617439572926,0.016005145058608637,0.016005145058608637,0.08613240247578084,0.00644356544537799
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.8976621981626492,0.10090373287787228,0.16982853643833104,0.8439565129881889,0.07458901899410521,0.09882593763026412,0.27789088935923795,0.30916289116823087,0.11113636068869065,0.3930731801187286,-0.001558700721607048,0.008467075845170365,0.007850393406612899,0.05476991554771025,-0.04611148978260077,-0.004094677960973816,-0.00861028361606514,0.020333762416807292,-0.03866582830986868,-0.010152928145097741,0.02187051380793338,-0.007149618979287392,-0.015290142368043571,0.0016154173791559135,-0.02182826479679556,-0.030837043767588824,0.024613173816781103,-0.029608223282637,-0.042942560850106636,0.004809680651538881,0.016005145058608644,0.016005145058608637,0.09385781877294486,0.007165888233857292
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7247460419283698,0.07913602241822955,0.14125135435996256,0.6671663539050829,0.06426735712396946,0.08342336767616079,0.21973286807331496,0.31260280361738607,0.09715413084975127,0.39635990155251366,0.0024381340845911204,0.00361141622580269,0.005282468777786029,0.05224217084833959,-0.03850631398485541,-0.0003584322633006093,-0.006805808630905168,0.028607853287220687,-0.031114687517270118,-0.008030036154165922,0.014993131264092935,-0.005613039975759651,-0.012053595191061332,0.0005323198212090889,-0.02290203257790241,-0.02698007003658131,0.020252909947964696,-0.024298201248534296,-0.03703376160869786,0.004309982130847915,0.01600514505860863,0.016005145058608637,0.07922955767009118,0.005960078556008838
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.9101236196517847,0.10470721566383923,0.1695598597801309,0.8704573574114619,0.07358240532664934,0.08135725966920915,0.27668886018780253,0.2933549530579939,0.1262851387016447,0.3779692233236584,-0.003927121947652601,0.008596872023401744,0.006120396850715753,0.06958615633404114,-0.04581469195343273,-0.0048373192856498645,-0.008462524598915631,0.03734797740398681,-0.019868190615976895,-0.009750198191440232,0.020326717375849616,-0.007403589730577023,-0.015280743665186773,0.0016070679037838162,-0.023326711214818635,-0.030365261199560265,0.024661356509766683,-0.029900849801279716,-0.04267705770856633,0.005561720679071728,0.016005145058608637,0.016005145058608637,0.07726731581808598,0.007154551464760177
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.6752345879725702,0.07123128907372246,0.1341790303219513,0.6102885935251198,0.06262981739341837,0.0924774756733572,0.20747755248634583,0.32791324632395075,0.08255162533786421,0.41098851810836906,0.004574653954465685,0.0027610640310525136,0.005659017349502827,0.040483235167255605,-0.03690163021347196,0.001246798544483993,-0.006497344390124959,0.017544927227292353,-0.04285662236735932,-0.0078162209301812,0.014553872103730377,-0.005062486233957937,-0.011187126696931057,0.0003958250293435799,-0.02177954320368989,-0.0264222952965567,0.01908393169871276,-0.022779228683407607,-0.03587255139406994,0.003571219817193584,0.016005145058608644,0.016005145058608637,0.08782850292605106,0.005661662961828575
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7696455322950533,0.08284662861609439,0.14927647894467627,0.6762126966890182,0.06756052973656765,0.08803715915590872,0.2374522806727445,0.316562603637063,0.09910581178663666,0.4001433581929206,0.0019407197746637295,0.004161807642882846,0.005580288835839107,0.0507890572081007,-0.041076820306053016,-0.0012036982629427158,-0.007307342249031295,0.025143807914802595,-0.03305801446418816,-0.004605089046471672,0.01625877710269824,-0.00587265237132294,-0.012784334496177654,0.0006309863956193234,-0.020036660059226597,-0.028259618375174912,0.021438682374911224,-0.025804653887096202,-0.03892483841416954,0.004424508825373698,0.016005145058608637,0.016005145058608637,0.08361140736406995,0.006298697418556248
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.8032973840135633,0.09052167209310166,0.15394996747707707,0.7790960758166693,0.06851982807908194,0.09004451052091449,0.24345505135004414,0.30708812242160816,0.10559016317085619,0.3910908078896485,0.00036935576848118323,0.0061557079298493935,0.006684444123646396,0.05590523756730881,-0.041559511057210674,-0.002178724406434216,-0.00758458983181139,0.02702858664995565,-0.03455562415012638,-0.012633138184611408,0.01834778698838624,-0.006418524313523223,-0.013596852944939635,0.0011127663037355277,-0.025315998324468934,-0.02855971397882147,0.022223199876144958,-0.026635778497088838,-0.039462796861623184,0.004587016520103218,0.016005145058608644,0.016005145058608637,0.08551784635314603,0.0064958945279923195
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7888260392929964,0.10017416104778118,0.15288646680864654,0.7322297099771763,0.06711333681683138,0.08966714032393361,0.23349164719099313,0.2954245730081618,0.09775180468805188,0.3799466760497232,0.0018906434367935987,0.003347343344924961,0.005869222049229978,0.05022993152543906,-0.03980999910023637,-0.0025015595317968604,-0.007564569113788408,0.02590053989517302,-0.03389784014744444,-0.008255707229872294,0.012215465090797427,-0.007135469847566174,-0.014562803319916608,0.0013577888486029238,-0.023736314699842616,-0.02798095363226146,0.022161168614274977,-0.026054961712728197,-0.03862412439801919,0.003943901270488893,0.016005145058608637,0.016005145058608637,0.08515944708663914,0.006451020285497904
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7873196848760117,0.07973451630052318,0.1512782487803476,0.7303745890027928,0.06869253208361686,0.08887245240799646,0.24497621143314047,0.3209637020330845,0.10533870518097524,0.40434846069021046,0.0007108370104243478,0.006229190610892159,0.006326489763650794,0.05537693903089985,-0.042237745494968816,-0.0012857908327542668,-0.007397412885366074,0.02634041786901789,-0.03385077209493002,-0.009112449491772194,0.020245108897005627,-0.005634236002724179,-0.01243324018244294,0.0006174590857060574,-0.022313673824859045,-0.028700710312397626,0.02170401067457212,-0.026374363793335853,-0.03958949102711321,0.004857695708919968,0.01600514505860863,0.016005145058608637,0.08440470924975536,0.00638316178015979
