E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,B0,B6,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2085080996006672,0.7172739061700598,0.21294220590710825,0.3697486189341529,1.8884277293689231,0.19825326495695136,7.053622403914422,0.017325880987515318,0.5349931201089602,0.206334080506444,0.007298584624279869,-0.1393785464338972,-0.011544193187182472,0.13660254480370118,0.07403272326062724,-0.1436007243710358,-0.04716590028333856,0.1572204486965328,-0.16830002359932103,0.212505450901085,0.020069601496644218,-0.3051824064201556,-0.18269378607687978,0.01881632114133519,0.06479336777480729,-0.39962369859554614,0.11433274883306263,9.755427477713824e-05,-0.012049182747160332,-0.024324441560669367,0.02705815608434904,0.03349061534610139,0.001247224399228782,0.0026618069904894566,0.03349061534610139
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1371709444882228,0.5236259964357677,0.18831388434063956,0.32316891575438805,1.80812980644164,0.15881747850835418,6.398138090789861,0.020465652621153293,0.40982312974433277,0.18489442557000904,0.005189994553781102,-0.10692782918360315,-0.01112104316778683,0.120898340234749,0.05487051031457095,-0.06502112263182944,-0.03235777074820334,0.1310066480193468,-0.14537918597721725,0.13959483616136112,0.018281699169468688,-0.23408575408908586,-0.14535090460555905,0.015000253753921803,0.055555659630043205,-0.29733344628495834,0.10411532420825503,-0.0025484040143391694,-0.002339504326373844,-0.021219714512707363,0.024013210210590247,0.030010689805604666,0.001247224399228782,0.0021323304541654847,0.030010689805604666
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2225878543407376,0.8312296651944694,0.20755862232451341,0.38697617099033543,1.8900146766496702,0.2206429574566889,7.531031834819059,0.022383869924105314,0.5976436417436619,0.19980623309048035,0.008417399150951889,-0.1555853562195611,-0.008592239919369825,0.13248815011850634,0.07238076187529549,-0.20449585719437424,-0.05558920733811168,0.16789013818086707,-0.1770839326777735,0.26426176945578184,0.02069843122763281,-0.3405665079481101,-0.1971465951459489,0.020906871941359872,0.0654305284939492,-0.4577263999463709,0.12233109301452239,0.0025978393389484607,-0.011803391735328607,-0.02266085912828531,0.030174700283733764,0.03243106364087899,0.001247224399228782,0.002962417626201562,0.03243106364087899
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2180676634486753,0.6927156066947365,0.2049606433549122,0.3650988649135798,1.8279550024428766,0.19613667712635804,7.080468076708985,0.02189902959671273,0.515713813365037,0.19900211426975478,0.006957401652975899,-0.13432462519620478,-0.010130165524825024,0.13125337140577906,0.06587519725261827,-0.13815412688276266,-0.03831248968474266,0.1532826058630083,-0.1665841381519349,0.20604566196215368,0.021687525764161483,-0.294169429046399,-0.17380975651601346,0.01856255466710796,0.060681075042979274,-0.38564345727148186,0.11496982245593862,-0.0004198863995899249,-0.007486791558563733,-0.022738283849145648,0.030207070520066687,0.03230054504670698,0.001247224399228782,0.00263338905606259,0.032300545046706985
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1745281466864503,0.680295641384159,0.1985266102650669,0.35609191265163864,1.8718329889595484,0.18960759212376066,7.06297075091233,0.021230094511113237,0.5057960000047995,0.19295600576958435,0.0068375420065269555,-0.13183082143539432,-0.009885221996717354,0.12707210158362087,0.06368926840252671,-0.13356029698212085,-0.04764086466344286,0.150569520503407,-0.1615040811390886,0.2019050050586809,0.018798984318573693,-0.28850152069371493,-0.17312635171214869,0.017943968717173648,0.06178522662305172,-0.3793029543085109,0.11495590524653214,0.00017501980017037982,-0.007142668014265722,-0.021879867667843052,0.026182290928415036,0.03131918562405132,0.001247224399228782,0.0025457276291237364,0.03131918562405131
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.06900377948192,0.6540397865468497,0.18562495288150543,0.411026865459862,1.7262760150244008,0.2005186269934849,7.010101393752922,0.020662674346090256,0.4870882116981467,0.18077171973804665,0.006569196588737366,-0.126381649160272,-0.008772418462800448,0.11687262636497538,0.06183000790613382,-0.12438588164277532,-0.02018401850777818,0.09825301902989471,-0.1911568755715495,0.19274993681054173,0.01667239390995922,-0.2778437042380191,-0.1707124738316294,0.018996444184401752,0.06601949126718074,-0.3655078306608244,0.11217511034337757,-0.0006035814572029133,-0.008115095652320315,-0.01937685301787393,0.016623667565741462,0.029341522817463387,0.001247224399228782,0.0026922224114215815,0.029341522817463387
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2630708548912088,0.7028829890926274,0.21028687888639702,0.32672953225393414,1.947713764186728,0.18568423832248107,7.104714868753456,0.02189275832510188,0.5224009006626007,0.20403029295278954,0.007065309899820846,-0.1364573935228873,-0.010715913966684514,0.13585420985449692,0.06584806625740768,-0.14196014641206692,-0.05931371900157478,0.18520688537933033,-0.14567577768461196,0.20974776277744395,0.021478315031161814,-0.29796980617833374,-0.17451723835743196,0.01756042599798609,0.058113322352755716,-0.3910329866749366,0.11668438203931383,0.0004383826027920916,-0.006601131595631072,-0.02390528479728514,0.03489682629131195,0.03311668166239188,0.001247224399228782,0.0024930515202249617,0.03311668166239187
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1550569225383074,0.6780290064824096,0.1978720815277051,0.4305744713241535,1.6552929732793489,0.21339975421997862,7.046181229212201,0.021968477585419893,0.5062263615581489,0.1923111463984323,0.006800463041390971,-0.1311421362108652,-0.009288555671332539,0.12477188744214462,0.06610070285276952,-0.13312061206878445,-0.10278513458032768,0.20306261097050599,-0.100958791650305,0.20074261223009202,0.022076870641957305,-0.2887806525877056,-0.17212389176895215,0.02021699728698173,0.06406392108139457,-0.37776739073282856,0.11217130004919572,-0.0016523255566259134,-0.008714690421130707,-0.021079996431933583,0.023916026822477378,0.031214516837783906,0.001247224399228782,0.0028651682363259145,0.03121451683778391
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.220673224438357,0.6901123939039315,0.20368356169669868,0.31243762139689735,2.021516117518055,0.17705619338803943,7.0888024187328655,0.021138826015479117,0.512008543310089,0.19783910577219255,0.0069432347057466984,-0.1338792602891503,-0.010533386608935722,0.13168845014357514,0.06338344805869613,-0.1372461067132083,-0.003640223779274976,0.11705247449354109,-0.2063540261763243,0.2055306982214354,0.018064236623645383,-0.29202781993033744,-0.17379684395182174,0.016741532675796846,0.05903632517471154,-0.3845420372927544,0.11687511541185154,0.001280117828142354,-0.006054800375431133,-0.023110493692785734,0.030852066894449727,0.032111774145940124,0.001247224399228782,0.0023772088362432344,0.03211177414594011
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.4041448350296963,1.1554894517884877,0.2849442199397879,0.49322281137960844,2.1057572289945865,0.2686974418987826,11.150664895469346,0.020739658270596373,0.7329170604919631,0.27049336845169825,0.011884345837231216,-0.18988481603091148,-0.009994529456618873,0.18283038643594313,0.09928690645875629,-0.18676438937769027,-0.08888745623351357,0.22619082298611454,-0.22901012771896487,0.27364181611531635,0.0250285432727927,-0.4160418667690256,-0.2620443129153168,0.02553269427440148,0.10129980251051966,-0.5554670489235882,0.1837855507487444,0.0034393699853316785,-0.02385735818589696,-0.028017978704607774,0.03713115765929076,0.043904474405061636,0.001247224399228782,0.0036076113517127524,0.04390447440506164
