E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,B1,B3,B6,S5,S1,S8,S4,S2,S3,S0,S7,S9,S6,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809282117829565,9.643835649301758,0.011427246496692528,0.02145513135237523,5.404404368650981,0.028579381350157015,0.028390354381991553,0.710922303042793,0.5082986577176077,2.693334535785596,-0.15504717916400856,-0.15504717916400876,2.102824887128962,1.9477777079649532,2.1028248871289623,-1.9477777079649532,1.9477777079649532,-0.15504717916400876,-0.15504717916400873,0.0,-0.31009435832801757,-1.9477777079649532
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292304119416,9.643835647956347,3.7138724286766096,0.02191402668284352,5.404404640318549,0.02857968889918336,0.003726671207910746,0.002730443858087693,0.001959529373077991,2.744314632308325,-0.20030759803793777,-0.20030759803793774,2.1480852767834664,1.9477776787455279,2.148085276783466,-1.9477776787455283,1.947777678745528,-0.20030759803793777,-0.20030759803793777,0.0,-0.4006151960758755,-1.9477776787455283
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,3.59265325551011,3.40395953893703,0.656605587386049,4.4118729609188145,9.643835647956347,2.3159115382602575,0.023475046847143577,3.053063711582102,0.016152678532928736,0.0037850465387612047,0.004417834512998953,0.003140888741546665,1.6483715640965053,-0.20020199920611131,-0.2002019992061113,1.3005401738649898,1.1003381746588785,1.3005401738649898,-1.1003381746588785,1.1003381746588785,-0.2002019992061113,-0.2002019992061113,0.0,-0.4004039984122226,-1.1003381746588785
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.59265325551011,3.40395953893703,0.656605587386049,10.506359409941702,9.643835647956347,2.3159115272339204,0.02139218722728741,7.271023868832989,0.03844538784175174,0.0037830575737913177,0.004362851358270821,0.0031408828592365294,3.614119455634903,-0.20020199973191663,-0.20020199973191663,2.820721936603777,2.620519936871861,2.8207219366037775,-2.62051993687186,2.62051993687186,-0.2002019997319166,-0.20020199973191663,0.0,-0.4004039994638332,-2.6205199368718604
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.796326627755055,3.40395953893703,0.656605587386049,7.809269766497388,4.821917823978174,4.4136690460210914,0.02089870654978904,5.404404039241593,0.028579008436922855,0.0018378351374958397,0.0012866071203428598,0.0008244950276835776,2.6315197679370503,-0.10016767819496805,-0.10016767819496805,2.047945421589379,1.9477777433944106,2.047945421589379,-1.9477777433944106,1.9477777433944108,-0.10016767819496807,-0.10016767819496805,0.0,-0.2003353563899361,-1.9477777433944108
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.388979883265165,3.40395953893703,0.656605587386049,7.8093141273545905,14.465753471934523,0.2802775003142757,0.022897163680016923,5.404405222342852,0.02858034779247395,0.008151060023170268,0.05159521009593952,0.038598798032160965,2.853534798964088,-0.29727388099403923,-0.29727388099403923,2.2450514971398947,1.9477776161458553,2.2450514971398947,-1.9477776161458553,1.9477776161458553,-0.29727388099403923,-0.2972738809940392,0.0,-0.5945477619880783,-1.9477776161458555
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,1.701979769468515,0.656605587386049,7.809282057348639,9.643835647956347,0.011343103693478268,0.021452409540794456,5.40440436703782,0.028579379525781084,0.02853791955274187,0.7151414206912714,0.5113018569427101,2.693032161709303,-0.15477873000105824,-0.15477873000105816,2.1025564381393185,1.9477777081382606,2.1025564381393185,-1.9477777081382597,1.9477777081382603,-0.15477873000105813,-0.15477873000105816,0.0,-0.3095574600021163,-1.9477777081382601
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,5.105939308405545,0.656605587386049,7.809292317247155,9.643835647956347,5.569585445487144,0.021914618087641804,5.404404640668664,0.028579689295539768,0.0036952522006828805,0.0018211623144472,0.001306980182878602,2.7443803333758563,-0.20036592781804838,-0.20036592781804838,2.1481436065259203,1.9477776787078718,2.1481436065259203,-1.9477776787078718,1.9477776787078722,-0.20036592781804838,-0.20036592781804838,0.0,-0.4007318556360967,-1.9477776787078716
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.3283027936930245,3.904934368204454,9.643835647956347,2.3159115407277566,0.023941153997739505,2.702210006865657,0.014298546352975592,0.0037854916339469333,0.004430138770658695,0.003140890057903638,1.4848590618568998,-0.20020199908844535,-0.20020199908844538,1.174090011716861,0.9738880126284154,1.174090011716861,-0.9738880126284153,0.9738880126284154,-0.20020199908844535,-0.20020199908844535,0.0,-0.4004039981768907,-0.9738880126284153
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.9849083810790735,11.713680203832828,9.643835647956347,2.3159115264111425,0.02123676883508877,8.106600072904053,0.04286173612087137,0.003782909161609672,0.00435874863646748,0.0031408824203024896,4.003533467203685,-0.200201999771151,-0.20020199977115102,3.121869258683017,2.9216672589118655,3.1218692586830166,-2.921667258911866,2.921667258911865,-0.20020199977115108,-0.20020199977115108,0.0,-0.4004039995423021,-2.921667258911866
