E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B7,B0,B4,S8,S3,S5,S6,S1,S9,S4,S7,S2,S0,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384697,0.05918069461553117,0.018903893268580323,0.7380066009061412,0.14863162256421586,0.3919750575630891,2.1812404444544278,5.928465579333065,1.6593021570407103,0.007190948288526283,-0.004576678093575681,-0.004576678093575676,-2.6648264138883005e-17,0.3436603562212017,-0.004576678093575707,-0.009802928978486669,0.34823703431477737,0.3482370343147773,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.3436603562212017
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6078247717063795,0.055759226457868356,0.018942188976991438,0.6956072319069818,0.14866895866493351,0.3927691248113324,2.1572520201425847,5.928465579333065,1.7342165854251925,0.006776521278914543,-0.004050433878729866,-0.004050433878729862,0.0,0.32405264715682486,-0.004050433878729862,-0.00977713395905111,0.3281030810355547,0.3281030810355547,-0.009777133959051144,-0.009777133959051148,0.0,-0.009777133959051165,0.3240526471568248
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.606852439714439,0.055599219759054366,0.01889108308820911,0.6935913591472884,0.1486191333792812,0.391709436554916,2.1561103190858306,5.928465579333065,1.7363803413104688,0.0067569786856241576,-0.00404218927545595,-0.004042189275455955,0.0,0.3231194411292737,-0.004042189275455948,-0.00981155759159602,0.3271616304047297,0.3271616304047296,-0.00981155759159641,-0.009811557591596399,0.0,-0.009811557591596395,0.3231194411292735
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640396884,0.06987458465455451,0.0189038932685801,0.4575694297040322,0.14863162256427878,0.3919750575627025,2.0141807055513867,5.928465579333065,2.309696744218803,0.0043692218173123154,-5.2136307220198436e-05,-5.2136307220201905e-05,-2.64647554367184e-17,0.20710871305534664,-5.2136307220205375e-05,-0.009802928978486669,0.20716084936256685,0.20716084936256687,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.20710871305534662
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384678,0.04837383655625461,0.018903893268580316,0.8873314885773131,0.14863162256421578,0.391975057563087,2.2717560572404647,5.928465579333065,1.4429462621400047,0.008697230251698199,-0.006081781774505312,-0.006081781774505315,0.0,0.41764619948549664,-0.006081781774505284,-0.009802928978486669,0.423727981260002,0.42372798126000205,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.4176461994854965
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384693,0.055787312472096666,0.018903893268580316,0.6908360736222751,0.14863162256421586,0.3919750575630841,2.154445147515972,5.928465579333066,1.7418025528302834,0.010051204698685201,-0.00400275497751496,-0.004002754977514955,0.0,0.3217583596651637,-0.0040027549775149655,-0.009802928978487557,0.3257611146426787,0.32576111464267876,-0.009802928978486572,-0.009802928978486565,0.0,-0.009802928978486572,0.32175835966516364
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384696,0.05558980900016083,0.018903893268580316,0.6951926591432526,0.14863162256421586,0.391975057563089,2.1570523808825994,5.928465579333065,1.733840679655188,0.0056580930605026605,-0.004058142627696154,-0.00405814262769616,-5.3421883250649686e-17,0.32388946559572357,-0.004058142627696212,-0.009802928978486669,0.3279476082234197,0.3279476082234196,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.3238894655957236
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.667525914252178,0.054750748931708226,0.018895491344039523,0.6823108776757466,0.15172822906410735,0.3918008423996448,2.1497087115602107,5.928465579333064,1.9327812435077818,0.006650458359045126,-0.004284715177217598,-0.004284715177217589,2.6725665185650997e-17,0.31788688161328077,-0.004284715177217598,-0.007663524399184496,0.3221715967904984,0.3221715967904985,-0.007663524399185832,-0.007663524399185828,0.0,-0.007663524399185814,0.3178868816132807
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.5786858355634507,0.05608290022814673,0.01890784333349341,0.6999814653364349,0.14717578984095173,0.39205696275053875,2.1597353071453975,5.928465579333065,1.644346918685677,0.006817503817995338,-0.003923966165833749,-0.003923966165833747,0.0,0.3260824415460448,-0.00392396616583374,-0.010808744601154885,0.3300064077118785,0.3300064077118786,-0.010808744601154892,-0.010808744601154888,0.0,-0.010808744601154899,0.32608244154604504
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.5700031810538857,0.05615902699886714,0.01889074972813755,0.701029700684367,0.15347579517836635,0.39170252428410623,2.160330740993668,5.928465579333065,1.618298071360169,0.006827237842504807,-0.0038848510899478807,-0.003884851089947877,5.340194015224402e-17,0.32656913852985414,-0.003884851089947846,-0.006456154025324068,0.33045398961980205,0.3304539896198021,-0.006456154025324387,-0.006456154025324385,0.0,-0.006456154025324373,0.32656913852985436
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6297916439221394,0.05533514446365318,0.018911935192785844,0.6900383404370101,0.1456676974961478,0.3921418080656684,2.154093326878128,5.928465579333066,1.8082288622960632,0.006723619540929691,-0.004137918803833112,-0.0041379188038331086,0.0,0.32147078776774357,-0.004137918803833114,-0.01185066570691884,0.3256087065715767,0.3256087065715767,-0.011850665706918603,-0.011850665706918607,0.0,-0.011850665706918603,0.3214707877677434
