E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B0,B8,B9,S9,S1,S4,S0,S3,S8,S5,S7,S6,S2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261850019478783,0.05424059511670756,0.26408183081010617,0.023115572058185256,7.038352215021453,0.019739984960852164,0.07905329388897468,0.002678928684160125,0.8491987716129045,0.0251989545657045,-0.004643459129429654,0.0034894326118562937,0.0034894326118562937,0.0034894326118562937,-0.0011540265175733564,-0.128172618268976,-0.12817261826897594,-0.0011540265175733477,-0.0011540265175735698,-0.12817261826897663,0.13166205088083227,-0.0011540265175734588,0.13515148349268857
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23212175479561062,0.05425074127837124,0.27777352768049735,0.022829143793386082,10.12432972738828,0.019745610523502228,0.07888940996654693,0.0028163184848378157,1.2190925047662735,0.02603958620610547,-0.004554183482102027,0.0036705886835817487,0.0036705886835817487,0.003670588683581749,-0.0008835947985202774,-0.12199362647892073,-0.1219936264789207,-0.0008835947985202791,-0.0008835947985197379,-0.12199362647891832,0.12566421516250248,-0.000883594798520293,0.12933480384608398
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23279548511274156,0.054347140938242555,0.25920419014351537,0.022485266067264205,5.939029162845,0.01974285519372524,0.0791159955113794,0.0026285056402847425,0.7174308884710056,0.024918250693711272,-0.004441182960675017,0.0034251341100893264,0.003425134110089327,0.003425134110089328,-0.001016048850585689,-0.13037363420527232,-0.13037363420527232,-0.0010160488505856907,-0.0010160488505857046,-0.13037363420527015,0.13379876831536167,-0.0010160488505857046,0.1372239024254509
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.22966539532967664,0.053900104715111835,0.3454754287841362,0.02408746243223126,6.011274570747515,0.019755692836345384,0.07806333207665686,0.0035016136778071773,0.724573818267197,0.030128315720687533,-0.004964318073914652,0.004565399629353405,0.004565399629353404,0.004565399629353406,-0.0003989184445612453,-0.09144106861674131,-0.09144106861674128,-0.00039891844456123315,-0.0003989184445609695,-0.09144106861673862,0.09600646824609468,-0.0003989184445611915,0.10057186787544792
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23421162118421368,0.05455008466323527,0.22017260219951762,0.021764214728919817,7.592422853807301,0.019737077749964388,0.07959227562349913,0.00223394489164088,0.9164293526753777,0.022561450474461616,-0.004202950770048838,0.0029091689805258673,0.0029091689805258673,0.0029091689805258673,-0.001293781789522972,-0.14798792210152664,-0.14798792210152661,-0.0012937817895229686,-0.0012937817895233295,-0.1479879221015281,0.1508970910820525,-0.0012937817895229964,0.15380626006257847
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261852072459685,0.05390237337521928,0.26408166231240937,0.022657731813423277,7.038350055907964,0.01974423708027911,0.07905706189995686,0.0026778758987266427,0.8491985090193064,0.025145613854750594,-0.004439218075456133,0.003489599194554372,0.0034895991945543725,0.003489599194554372,-0.0009496188809017606,-0.12817252549900643,-0.12817252549900643,-0.0009496188809017606,-0.0009496188809015038,-0.12817252549900715,0.1316621246935608,-0.0009496188809017259,0.1351517238881148
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261852198798785,0.05446792498187517,0.26408165194317096,0.022547044430152475,7.0383499230375275,0.01974335019456394,0.07905627787220851,0.002677815080502869,0.8491984928594676,0.025236175033686827,-0.004481862645132138,0.00348960944594499,0.003489609445944991,0.0034896094459449913,-0.0009922531991871462,-0.12817251979000302,-0.12817251979000302,-0.0009922531991871375,-0.0009922531991870542,-0.12817251979000233,0.131662129235948,-0.0009922531991872763,0.135151738681893
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261852163586166,0.05430974060463549,0.26408165483323476,0.022577894523085364,7.0383499600705335,0.019743597381785508,0.07903845790306403,0.0026778320314651224,0.8491984973634595,0.0252108451848385,-0.004469977018240183,0.0034896065887271258,0.0034896065887271253,0.003489606588727127,-0.0009803704295130548,-0.12817252138118876,-0.1281725213811888,-0.0009803704295130444,-0.0009803704295134885,-0.12817252138118818,0.1316621279699159,-0.0009803704295131555,0.13515173455864282
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.2326185216717423,0.05432583937687521,0.26408165453874566,0.022574750983080222,7.038349956296977,0.019743572194084413,0.07906249438070229,0.0026778303042116107,0.8491984969045159,0.025213423060994635,-0.004471188131078204,0.003489606879869287,0.0034896068798692874,0.003489606879869287,-0.0009815812512089187,-0.1281725212190515,-0.12817252121905154,-0.00098158125120891,-0.0009815812512097288,-0.12817252121904943,0.13166212809892086,-0.0009815812512088407,0.1351517349787903
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.2326121561223431,0.05432089992443409,0.2642571015281013,0.02257878535774118,7.0361360573395935,0.019743604519622794,0.07905433886171176,0.002679605088747426,0.853938299624327,0.025223372482346497,-0.004471953235682811,0.003491925935866501,0.003491925935866501,0.0034919259358665014,-0.0009800272998163086,-0.12809334520154023,-0.12809334520154023,-0.000980027299816305,-0.0009800272998159443,-0.12809334520154003,0.13158527113740676,-0.0009800272998162773,0.13507719707327315
