E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,B2,B4,B5,S6,S4,S3,S7,S2,S0,S5,S9,S8,S1,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,10.32852948,48.639623,35.969629840199,0.14277015659820722,6.210796491103804,7.772698357913684,0.03822051473679463,0.03881127136831281,0.16536863574187158,0.019364300711170786,0.07824739539498739,0.024162264188491465,1.5345842848193425,0.007136214819014946,-0.0034876003926107824,-0.014111415604236502,0.0034876003926100907,-0.010623815211625729,-0.010623815211625726,-0.010623815211625727,-0.010623815211625727,0.0034876003926107846,0.007136214819015052,0.003487600392610979
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13792425357037824,6.2026203439631065,7.772190234676128,0.03805478023275213,0.0387981248480827,0.16535940956116096,0.018439099730662663,0.07854544050278756,0.02481714305691232,1.5346120078150556,0.006750929750633838,-0.0033339596930332237,-0.013418849136700295,0.003333959693033961,-0.010084889443667065,-0.010084889443667061,-0.010084889443667063,-0.010084889443667058,0.00333395969303322,0.0067509297506338495,0.003333959693033517
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,10.32852948,48.639623,35.969629840199,0.13767536493569696,6.228125339348608,7.77218017592395,0.03789093343013183,0.03879744894191267,0.16535922692069419,0.018399979859817842,0.07856310518418164,0.024743992663323958,1.5345174022320163,0.006731120968505886,-0.0033309182385044592,-0.013392957445514806,0.003330918238503955,-0.010062039207010348,-0.01006203920701032,-0.010062039207010345,-0.010062039207010345,0.0033309182385044657,0.0067311209685059215,0.003330918238504399
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,10.32852948,48.639623,35.969629840199,0.13781199176533596,6.216623661243116,7.772187347690335,0.03796489472024925,0.03882327484334959,0.16535935714109706,0.018418115685362193,0.07855517274137787,0.024776972142715976,1.5345605850941488,0.0067392005957358,-0.0033330867581119633,-0.013405374111959743,0.003333086758111392,-0.01007228735384776,-0.010072287353847742,-0.010072287353847766,-0.010072287353847765,0.003333086758111947,0.006739200595735806,0.003333086758111836
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,10.32852948,48.639623,35.969629840199,0.13776681820782022,6.216678554475421,7.772182533860942,0.03796409927390138,0.03877686600141008,0.1653592697346243,0.018417093545047464,0.07855516867271031,0.024776723942478155,1.5345593106849287,0.006740686404315948,-0.003331631205482322,-0.0134039488152806,0.003331631205480079,-0.010072317609798272,-0.010072317609798292,-0.01007231760979827,-0.010072317609798272,0.003331631205482327,0.006740686404316043,0.0033316312054822994
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,10.32852948,48.639623,35.969629840199,0.13779867530604398,6.21664552735724,7.77323031473649,0.03796949717803336,0.03879778389169928,0.16538155768730195,0.018419360843657622,0.07856509174414733,0.024780118528062906,1.5345748956405607,0.00674093734202517,-0.0033325069547424824,-0.013405951251510135,0.003332506954741632,-0.01007344429676766,-0.01007344429676768,-0.01007344429676765,-0.010073444296767653,0.0033325069547424924,0.006740937342025299,0.0033325069547424312
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,10.32852948,48.639623,35.969629840199,0.13777771879255155,6.216660658134278,7.771329300627003,0.037960334193208135,0.03879772684071656,0.16534110785098324,0.01841607497552884,0.07854705398842503,0.02477414996095018,1.5345476034495968,0.006739265348747372,-0.0033321057460659435,-0.013403476840879293,0.003332105746064684,-0.010071371094813313,-0.01007137109481332,-0.01007137109481332,-0.010071371094813318,0.003332105746065933,0.00673926534874747,0.003332105746065972
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.295676532,48.639623,35.969629840199,0.14443537811077128,5.579584508891368,7.772433481478399,0.04253372794931808,0.03881580868081898,0.16536382628291107,0.01945153649037287,0.07808598242505897,0.026764042281960766,1.5371118857220856,0.007269189836636362,-0.0034075099779007625,-0.014084209792437916,0.0034075099779009577,-0.010676699814537137,-0.010676699814537144,-0.010676699814537123,-0.010676699814537127,0.0034075099779007634,0.0072691898366361585,0.0034075099779009577
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.361382428,48.639623,35.969629840199,0.1319487613536313,6.85374344458168,7.77193414301579,0.03426226473237197,0.03878189843157218,0.1653547596105937,0.01749176278463272,0.07897153506193567,0.02308519381806102,1.5323588161893222,0.006275382161957168,-0.003256525521669068,-0.012788433205295303,0.0032565255216709943,-0.009531907683626238,-0.009531907683626217,-0.009531907683626235,-0.009531907683626235,0.003256525521669079,0.006275382161957221,0.003256525521668774
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,43.7756607,35.969629840199,0.1340370885491044,6.221210839684046,7.771785077802279,0.03789846946157141,0.03494518375954826,0.1653520529786275,0.018332686028936705,0.07855483561587025,0.024756253089023253,1.5344540992585232,0.006863356786165108,-0.0032114528267122738,-0.013286262439589646,0.003211452826711536,-0.010074809612877381,-0.010074809612877378,-0.010074809612877383,-0.010074809612877383,0.0032114528267122855,0.00686335678616512,0.0032114528267124243
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,53.503585300000005,35.969629840199,0.1415371349267937,6.212097061371439,7.772584305176753,0.03803053530575105,0.042650321036430884,0.16536656484433399,0.01850238931925286,0.07855551111728684,0.024797461109899825,1.5346656860711323,0.00661667192513919,-0.003453114384149242,-0.01352290069343769,0.0034531143841469714,-0.010069786309288432,-0.010069786309288425,-0.010069786309288436,-0.010069786309288434,0.0034531143841492473,0.006616671925139261,0.003453114384149192
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,32.3726668561791,0.12910511434922642,6.222982338848916,6.9955133168110075,0.034219382460094976,0.03877412537088068,0.1488333118160676,0.017043252118544815,0.07114300974199009,0.022333852375355255,1.523330438760583,0.0060475770723063225,-0.0031644796359564286,-0.01237653634421919,0.003164479635957562,-0.009212056708262764,-0.009212056708262736,-0.009212056708262754,-0.00921205670826275,0.003164479635956452,0.006047577072306298,0.00316447963595623
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.32852948,48.639623,39.5665928242189,0.14623303242211022,6.210613591616754,8.548830807600023,0.0417064472790611,0.03882075312674471,0.1818848473777747,0.01972952211086541,0.08588265295518181,0.027210660968155314,1.545633160558895,0.0074140967133785995,-0.003492450167684464,-0.014398997048747551,0.003492450167687622,-0.010906546881063059,-0.010906546881063045,-0.010906546881063068,-0.010906546881063062,0.0034924501676844577,0.007414096713378671,0.0034924501676845132
